Document number,Triplet,correct triplet,correct entities,correct relation
2,1,1,2,1
2,2,1,2,1
13,1,1,2,1
13,2,0,1,0
24,1,0,2,0
24,2,1,2,1
24,3,1,2,1
24,4,0,1,0
24,5,0,1,0
26,1,0,2,0
26,2,1,2,1
41,1,1,2,1
41,2,0,2,0
41,3,1,2,1
56,1,1,2,1
56,2,0,2,0
62,1,0,1,0
62,2,0,1,0
63,1,1,2,1
63,2,1,2,1
64,1,1,2,1
64,2,1,2,1
64,1,0,2,0
72,1,1,2,1
74,1,1,2,1
74,2,1,2,1
74,3,1,2,1
74,4,1,2,1
74,5,0,2,0
75,1,1,2,1
75,2,0,2,0
75,3,1,2,1
82,1,0,2,0
82,2,0,2,0
83,,,,
85,1,1,2,1
85,2,0,2,0
89,1,0,2,0
89,2,1,2,1
91,1,1,2,0
91,2,0,1,1
92,1,1,2,1
92,2,1,2,1
96,1,1,2,1
96,2,0,2,0
98,1,0,2,0
104,1,1,2,1
107,1,1,2,1
107,2,0,2,0
107,3,1,2,1
107,4,1,2,1
107,5,0,2,0
117,1,0,2,0
117,2,0,2,0
