Document number,Triplet,correct triplet,correct entities,correct relation
2,1,1,2,1
2,2,0,1,1
2,3,1,2,1
2,4,1,2,1
2,5,0,2,0
13,1,1,2,1
13,2,1,2,1
13,3,1,2,1
13,4,1,2,1
13,5,0,1,1
13,6,1,2,1
24,1,1,2,1
24,2,1,2,1
24,3,1,2,1
24,4,1,2,1
24,5,0,2,0
24,6,1,2,1
24,7,1,2,1
24,8,1,2,1
24,9,0,1,1
24,10,1,2,1
24,11,1,2,1
24,12,0,1,1
24,13,1,2,1
24,14,1,2,1
24,15,0,1,1
26,1,0,1,1
26,2,1,2,1
26,3,0,1,1
41,1,1,2,1
41,2,1,2,1
41,3,1,2,1
41,4,1,2,1
41,5,0,1,1
56,1,1,1,1
56,2,1,2,1
56,3,0,1,0
62,1,1,2,1
62,2,1,2,1
62,3,1,2,1
63,1,1,2,1
63,2,1,2,1
63,3,0,2,0
63,4,0,1,0
64,1,1,2,1
64,2,0,1,0
64,3,1,2,1
64,4,1,2,1
64,5,1,2,1
72,1,1,2,1
72,2,0,2,0
72,3,0,2,0
72,4,1,2,1
74,1,1,2,1
74,2,1,2,1
74,3,1,2,1
74,4,1,2,1
74,5,0,1,0
74,6,0,1,0
74,7,0,1,0
74,8,1,2,1
74,9,1,2,1
74,10,1,2,1
74,11,0,1,1
74,12,1,2,1
74,13,1,2,1
75,1,0,0,0
75,2,1,2,1
75,3,1,2,1
75,4,1,2,1
75,5,1,2,1
75,6,1,2,1
75,7,1,2,1
75,8,1,2,1
75,9,1,2,1
82,1,1,2,1
82,2,0,1,1
82,3,0,0,0
83,1,0,1,1
83,2,1,2,1
83,3,1,2,1
83,4,1,2,1
83,5,1,2,1
83,6,1,2,1
83,7,1,2,1
85,1,0,0,0
85,2,0,0,0
85,3,1,2,1
89,1,1,2,1
89,2,0,1,1
89,3,1,2,1
89,4,1,2,1
89,5,0,1,0
91,1,1,2,1
91,2,1,2,1
91,3,1,2,1
91,4,1,2,1
91,5,0,1,1
91,6,0,1,1
91,7,0,1,1
92,1,1,2,1
92,2,1,2,1
92,3,1,2,1
92,4,1,2,1
92,5,1,2,1
92,6,1,2,1
92,7,1,2,1
92,8,1,2,1
96,1,1,2,1
96,2,1,2,1
96,3,0,1,1
96,4,1,2,1
96,5,0,1,1
98,1,0,1,1
98,2,0,1,1
98,3,1,2,1
104,1,1,2,1
104,2,0,1,1
104,3,1,2,1
104,4,1,2,1
104,5,0,1,1
